question,answers
What pruning techniques should be employed for grapevine cultivation?,"Effective grapevine pruning entails the removal of old or excess growth, proper training of vines onto a trellis system, and thinning out clusters to enhance airflow and sun exposure. This practice, commonly conducted during the dormant season, contributes to optimal yield and grape quality."
Name the most common types of beans that are milled for human consumption.,"black beans, navy beans, and pinto beans"
How effective is single super phosphate and  sulphate of ammonia when applied to crops,"The application of CAS can positively impact crop yield, especially when applied at the right time and in appropriate amounts.
"
how can soil organism helps in Carbon sequestration.,"Soil organisms, such as mycorrhizal fungi, can help to sequester carbon in the soil, helping to mitigate climate change"
how is root rot spread?,"spread through infected soil, water, and planting material"
explain how over grazing destroy soil nutrients.,"Overgrazing by livestock can lead to soil compaction, erosion, and loss of soil organic matter, which are all detrimental to soil fertility."
Name the crops that can be successfully grown in sandy soil,"Sweet potatoes
Carrots
Peppers
Tomatoes
Watermelons
Pineapples
Cucumbers
Okra"
"which  cassava variety can i plant in the high altitude regions of Uganda, such as Kabale and Kisoro.",NASE 19
which vitamins helps blood cell and DNA development,B12 
why should farmers avoid areas with recent fertilizer or pesticide applications when collecting soil sample.,"These substances can alter the nutrient levels and pH of the soil, affecting the accuracy of the soil analysis."
what is the duration of NARO 1 maize variety for maturity.,75 to 90 days after planting
why should you use mound planting.,"method ensures good soil drainage, which is essential for cassava growth. It also helps to reduce soil erosion and increases yields"
give other examples of ruminats,"Goats, sheep, camels, and antelope "
A mature horse shorter than 14 hands is considered?,pony 
name examples of Potassium-based fertilizers.," potassium sulfate or potassium chloride,"
What is Consumptive water use?,is the term that describes water used and not returned to the original source. 
What measures should I take to export mangoes to other countries?,"To export mangoes to other countries, it's essential to meet quality standards, obtain phytosanitary certificates for plant health, and comply with the import regulations of the destination country."
how can you minimize the effects of anti-nutrients in beans.,"it is recommended to soak, sprout, or ferment the beans before milling them. These processes can help to break down the anti-nutrients and make the nutrients more bioavailable."
"which pest feeds on the leaves and stems of cassava, causing defoliation and reduced yield",Cassava beetle
how is root rot spread?,"spread through infected soil, water, and planting material"
"
How does farm yard manure keep moisture in soil?"," improve soil moisture retention by increasing the soil's water-holding capacity, improving soil structure, and reducing soil erosion."
what are the different methods of pest management?,"biological control, cultural control, and chemical contro"
name some control measures for cutworms.," use of insecticides, such as pyrethroids or neem oil, applied directly to the cassava plant or to the soil."
What is total seed population in an acre?,"For soybeans, the recommended plant population is typically higher, ranging from 100,000 to 200,000 plants per acre. This corresponds to seeding rates of approximately 125,000 to 250,000 seeds per acre."
why is forest  pests control difficult.,because it is not easy to access the canopy and monitor pest populations
What are the typical symptoms of Guava rust?,"Typical symptoms of Guava rust include distortion, defoliation, reduced growth, and, if severe, mortality. On fully expanded leaves, dark-bordered, roughly circular brown lesions with yellow halos may be observed."
 which variety of maize has a hard outer layer and is used for making popcorn.,Popcorn maize
how can microbial activity help facilitate the loosening of the upper soil layers when farmyard manure is applied.,"Farm yard manure provides a food source for soil microorganisms. These microorganisms break down the organic matter in the manure, releasing nutrients and byproducts that contribute to the formation of soil aggregates. Microbial activity also produces substances that help bind soil particles together and enhance soil stability."
What transmits cassava mosaic?,"The disease is primarily spread by whiteflies (Bemisia tabaci) that act as vectors, transmitting the virus from infected plants to healthy plants."
why should you use mound planting.,"method ensures good soil drainage, which is essential for cassava growth. It also helps to reduce soil erosion and increases yields"
which  districts in Uganda grow maize.,"Kabarole, Mubende, Masindi, Jinja, Iganga, Kamuli, Mbale and Kasese."
which fungi causes root rot ?,"Fusarium, Pythium, and Phytophthora"
why should you use mound planting.,"method ensures good soil drainage, which is essential for cassava growth. It also helps to reduce soil erosion and increases yields"
what does NPK stands for.,"(nitrogen, phosphorus, and potassium"
"which insecticides are effective against a wide range of insect pests, including aphids, thrips, and whiteflies.",spinosad and neem oil
why is cassava referred to as a short-day plant?,it requires a certain amount of darkness to initiate flowering
How does post-harvest tuber rot spread and survive in potato plants?,"The mycelium and sclerotia of Sclerotium rolfsii subsist in the soil and are responsible for crop infection. The pathogen is disseminated through infected soil, running water, and farm implements. Mycelium and sclerotia may also be carried to soil with seed tubers. In dry soil, sclerotia can remain viable for more than two years."
which species of leafhoppers spread maize streak disease.,Cicadulina mbila and Cicadulina storeyi
how can distinguish female from male,Females and males can be distinguished by the number of bristles on their frenulum
"what is the importance of soil management.
",it helps farmers to identify nutrient deficiencies or excesses in the soil and adjust their fertilization practices accordingly.
what is tillage?,the process of preparing the soil for planting by breaking up the soil and creating a suitable seedbed
what is the spacing between plants and rows?,a spacing of 20-30 cm between plants and 60-75 cm between rows
which stage of crop cultivation involves placing seeds or seedlings into the soil at the right depth and spacing.,Planting 
what are some of the consideration to be done during ban placement of fertilizers.," specific crop, soil conditions, and nutrient requirements"
what is the approximate Global agricultural production,32 million tonnes of natural fibres
how many farms were there in United States in 1935,6.8 million farms in the United States
how can you ensure sanitation control CBB.,"Infected plant debris should be removed from the field, and tools and equipment should be disinfected to prevent the spread of CBB"
how long does TZECOMP 3 takes to mature., 90 days
name ways how farmers can minimize negative impact of burning maize residues.,"farmers can adopt several practices, including:

Incorporating maize residues into the soil: Instead of burning, farmers can plow or till the maize residues into the soil to help build soil organic matter and improve soil health.

Using maize residues for mulch: Maize residues can be spread on the soil surface as a mulch to help conserve soil moisture, suppress weeds, and improve soil fertility.

Composting maize residues: Maize residues can be composted to produce a nutrient-rich soil amendment that can be used to improve soil fertility.

Rotating crops: Crop rotation can help to break pest and disease cycles, reducing the need for burning to control these problems."
What fungicides can be used to control CBB.,"Copper-based fungicides can be used to control CBB, but they must be applied before the disease becomes severe."
why is crop rotation important?, help to maintain soil health and improve crop yields over time
name one open-pollinated maize variety that was developed in West Africa and is well-suited to drought-prone regions.,SAWAH
what is Land transformation.,the use of land to yield goods and services
give two cultural crop protection practices.,crop rotation and intercropping.
Which soil is better for maize production?,"Maize requires well-drained soils with a good supply of nutrients and moisture. It cannot withstand even a slight degree of waterlogging and therefore can be killed if stands in water for a day. Preferred soil for maize production should also be deep, well-aerated with moderate pH 5.5-6.5, and rich in organic matter."
define genetic engineering.,This involves inserting genes from other organisms into maize plants to create new varieties with desirable traits such as resistance to pests or diseases.
what is Tillage.," is the practice of breaking up the soil with tools such as the plow or harrow to prepare for planting, for nutrient incorporation, or for pest control."
what does the number 10-20-10 represent in  fertilizers.,"the numbers represent the percentage of N, P, and K, respectively"
where is Intensive farming practiced.,mainly in developed countries
what are nitrogen fertilizers?,"These fertilizers are designed to provide nitrogen, which is an essential nutrient for plant growth"
How can I test for moisture in maize at a local level,"Hand Feel: Take a handful of maize kernels and squeeze them tightly in your hand. If the kernels feel hard and dry, it indicates low moisture content. If they feel slightly pliable or soft, it suggests higher moisture content.

Bite Test: Take a few kernels and try to bite into them. If they crack easily, it indicates lower moisture content. If they are chewy or squashy, it suggests higher moisture content.

Visual Inspection: Examine the appearance of the kernels. If they appear shriveled, discolored, or have damaged husks, it could indicate lower moisture content. If the kernels appear plump, shiny, and well-hydrated, it suggests higher moisture content.
"
Why is diammonium phosphate put in planting hole.,"Diammonium phosphate (DAP) is often used as a fertilizer in planting holes for several reasons. Firstly, DAP contains both nitrogen and phosphorus, which are essential nutrients for plant growth and development. Nitrogen is necessary for the formation of proteins, chlorophyll, and other important molecules in plants, while phosphorus is needed for root growth, flower and seed development, and overall plant health.
"
why are farmers encouraged to do proper seed bed preparation.,"Proper seed bed preparation creates a favorable environment for seed germination. It helps to loosen the soil, remove debris, and create a fine and level surface where seeds can make good contact with the soil, facilitating better seed-to-soil contact and increasing the chances of successful germination."
which organic fertilizer is good for cassava cultivation.,compost or animal manure
what does the female S.exempta release to attract males.,pheromones
What is the most significant ailment that impacts guava trees?,"Anthracnose, induced by Colletotrichum gloeosporioides, stands as the predominant disease affecting guava trees."
how can farmers control Cassava green mite.,it is important to regularly monitor the cassava crop for signs of infestation. Early detection and treatment can prevent the spread of the mites and minimize crop damage
What are some common pests that can affect maize crops?,"corn borers, armyworms, and rootworms"
what is the other name of Couch grass.,Bermuda grass
The primary macronutrients are?," nitrogen (N), phosphorus (P), and potassium (K), which are typically present in fertilizers in the form of NPK ratios"
what kind of information is collected by tools used in precision agriculture?," soil moisture, nutrient levels, and other factors"
I planted maize the past season and had used cow dung while sowing the drought  affected the maize i intend to plant maize again in the same place do i need to apply cow dung again or i plant with out.,"If you intend to plant maize again in the same place where you had previously used cow dung and experienced drought, you can still apply cow dung to the soil to improve its fertility. Cow dung is a good source of organic matter and nutrients that can improve soil health and provide the necessary nutrients for plant growth.

However, if you had applied a large amount of cow dung in the previous season and the soil is still rich in organic matter, you may not need to apply more cow dung. Over-application of organic matter can lead to nutrient imbalances and other soil problems. Therefore, it is important to consider the current nutrient status of the soil before adding more organic matter."
which countries import  maize from Uganda.,"Kenya, Rwanda and Burundi."
What are the characteristics of the pathogen responsible for Alternaria rot in chilli plants?,"The characteristics of the pathogen causing Alternaria rot in chilli plants include septate and branched hyphae that are initially light brown but become darker with age. The hyphae are both inter and intracellular. Conidiophores emerge through stomata, and the conidia produced are single and muriform."
what does  nitrogen deficiency causes?,"stunted growth, yellowing leaves, and reduced yield."
name any other way of storing cassava.,Use proper containers
can crop rotation help control root rot in cassava?,Crop rotation can help to break the cycle of disease and reduce the risk of infection.
Apart from naro where else can we get access to quality seeds/cuttings?,Agricultural research organizations
which micronutrients are present in most common fertilizers.,"iron, manganese, and zinc"
What is total seed population in an acre?,"For soybeans, the recommended plant population is typically higher, ranging from 100,000 to 200,000 plants per acre. This corresponds to seeding rates of approximately 125,000 to 250,000 seeds per acre."
which fish are grown in farms?,"salmon, catfish, rainbow trout, tilapia, and cod are grown in fish farms"
which farming tools can spread bacterial blight when contaminated.,pruning shears or machetes
how can the nutritional value of maize flour obtained after starch extraction be increased.,"it can be fortified with vitamins and minerals such as iron, folic acid, and vitamin A"
"which fertilizer is often used as a basal or pre-planting fertilizer, and it can also be used as a top dressing fertilizer during the growing season.",NPK 
what is Food Supply Continuum,The process of getting food from the farm to the table
how can overuse of pesticides destroy soil nutrients?,"Pesticides can kill beneficial soil microorganisms and reduce soil biodiversity, which can lead to nutrient depletion and reduced soil fertility."
which vitamins helps blood cell and DNA development,B12 
what is final stage in crop cultivation,Harvesting
what causes cassava root rot., fungal and bacterial pathogens
 why is it is recommended to allow the cuttings to dry for a few hours in a shaded area before planting.,to reduce the risk of fungal infection and other diseases.
What type of soil is beans doing well,"Beans generally do well in soil that is well-draining, fertile, and rich in organic matter. The ideal soil for beans is a sandy loam soil with a pH range of 6.0 to 7.0. The soil should also be free of pests and diseases that can damage the plants.
"
What spacing is recommended for cassava planting?,"The recommended spacing for cassava planting can vary depending on several factors, including the variety of cassava, soil fertility, and intended use of the crop. However, a common spacing for cassava is between 1 meter to 1.5 meters between rows and 0.8 meters to 1 meter between plants within a row."
how does water spread blight in cassava field.,"Rain and irrigation water can spread the bacterium from infected plants to healthy ones, particularly in areas with high rainfall and high humidity."
"which pest feeds on the leaves and stems of cassava, causing defoliation and reduced yield",Cassava beetle
what is GMO in full?,Genetically Modified Crops
what is Seed dormancy?," is a natural mechanism that prevents a seed from germinating under unfavorable conditions, such as inadequate moisture, unsuitable temperature, or insufficient light"
how does nutrient leaching affects cassava yield.,"Wetland soils are prone to nutrient leaching due to excessive water movement. The continuous flow of water can carry away essential nutrients from the soil, making them unavailable to cassava plants. Nutrient deficiencies can negatively impact plant growth, development, and overall productivity."
Is it criminal if i kill monkeys spoiling my crops,"I am not a legal expert, but the legality of killing monkeys or any wildlife species largely depends on the laws and regulations of your country or region. In many places, wildlife is protected by law, and killing or harming them without proper authorization can be illegal and subject to penalties.

If monkeys or other animals are causing damage to your crops, it is generally recommended to explore non-lethal methods of managing wildlife, such as implementing deterrents, using fencing or netting, or seeking assistance from local wildlife authorities or conservation organizations. They may be able to provide guidance and solutions for addressing wildlife conflicts in a legal and humane manner.
"
what are fertilizers?,Fertilizers are substances that are added to soil to improve the growth and quality of crops
"What is bacterial soft rot in chilli plants, and what is the causative pathogen?",Bacterial soft rot in chilli plants is caused by Erwinia carotovora subsp. carotovora.
what is the WHO death estimates from pesticides poisonings.," 220,000 deaths"
what is depth of the soil for planting maize.,"make an estimate of about 5-7 cm deep, and you can make the holes deeper for dry planting and sandy soil."
What type of maize seed is resistant to pests and diseases?,Bt maize
name any one example of compound fertilizers.,10-20-10 or 14-14-14
What is the recommended dosage of fertilizer for growing strawberries in sandy soil?,"Generally, a balanced fertilizer with an NPK ratio of 10-10-10 is recommended for sandy soil. However, the exact dosage may vary depending on the specific soil conditions and the age of the plants"
what is fertilization?,the process of adding nutrients to the soil to improve crop growth and yield
What is the life cycle of powdery mildew in chilli plants?,"The powdery mildew disease cycle starts when spores (conidia) land on a chilli leaf. Spores germinate and grow into the leaf, parasitizing the plant as a food source. After a latency period of 18-21 days, the fungus grows out of the breathing pores (stomates) on the underside of the leaf, producing spores borne singly on numerous, fine strands or stalks (conidiophores). These strands become visible as white patches or mildew colonies on the underside of the leaf. Repeated cycles of powdery mildew can lead to severe outbreaks that economically damage the crop."
what is Payment for ecosystem services., is a method of providing additional incentives to encourage farmers to conserve some aspects of the environment
What transmit cassava mosaic,"is primarily transmitted by whiteflies, specifically the species Bemisia tabaci"
how does dormancy affects seed germination., allows the seed to delay germination until conditions are more favorable for seedling growth and survival.
how was harvesting done before the evolution of machinery?,Gathering and removing mature plants from the field had to be done by hand
what considerations are needed when deciding the timing for sowing crops after a prolonged dry spell.,"Wait for the onset of the rainy season: Begin sowing when there is a reasonable expectation of consistent rainfall. The start of the rainy season can vary from year to year, so it's helpful to consult local meteorological services or agricultural extension offices for information on the typical timing of the rainy season in your region.

Soil moisture: Ensure that the soil has enough moisture to support seed germination and early plant growth. This can be assessed by checking the soil's moisture content and ensuring that it is suitable for seed establishment."
why do farmers prefer TME 419 variety.,It has good yield potential and is resistant to cassava mosaic disease and cassava brown streak disease.
List inputs whose cost would lead farmers to increase prices.,"land, equipment, fertilizer, chemical, seed, buildings and facilities, maintenance, labor, fuel, heating, feed, taxes, insurance"
what is Tillage.," is the practice of breaking up the soil with tools such as the plow or harrow to prepare for planting, for nutrient incorporation, or for pest control."
name one crop planted by using a seed drill.,corn
Who invented the earliest milking machines?,the ancient Egyptians
What other crops can be inter cropped with cassava without interference in yield reduction?,"Legumes: Legumes such as cowpeas, soybeans, and groundnuts"
What is a seed drill?,a device that allowed farmers to plant seeds in the soil and then cover them up
How can i know that soil lacks air as a major nutrient,"To determine whether soil lacks air, you can perform a simple test called the squeeze test. Take a handful of soil and squeeze it tightly in your hand. If the soil remains in a tight ball and does not crumble, it may indicate that the soil is too compacted and lacks adequate air. Another indicator of soil lacking air is the presence of waterlogged areas or standing water after rain or irrigation."
Name the various activities done during crop cultivation.,"land preparation, planting, weed and pest control, fertilization, irrigation, harvesting, and storage"
how can a farmer control pest and disease.,use of resistant varieties
which body oversees organic certification>,USDA National Organic Program (NOP)
name working animals that have been used to cultivate fields.,"horses, mules, oxen, water buffalo, camels, llamas, alpacas, donkeys, and dogs"
What are the characteristics of the pathogens causing gummosis in citrus trees?,"The pathogens causing gummosis in citrus trees exhibit distinctive characteristics. They possess aseptate, intercellular, and intracellular hyphae, along with ovoid or ellipsoid sporangia. These sporangia are attached with the sporangium at right angles and germinate to release zoospores, facilitating the spread of the disease within citrus orchards."
How long does cassava takes to mature.," It takes between 8 to 18 months to mature, depending on the variety"
how can the use on integrated nutrients management help overcome problem due to persistent use of fertilizer.,"Agronomists can advise farmers on the use of organic amendments such as farmyard manure, compost, and green manure to improve soil health and nutrient availability."
Is agriculture a luxury or a matter of national security?,American agriculture is a matter of national security
how can nutrient management help in improving red soil.,"Conduct a soil test to determine the nutrient deficiencies in the soil. Based on the test results, apply the necessary fertilizers to provide adequate levels of essential nutrients, such as nitrogen, phosphorus, and potassium. This helps to optimize plant growth and yield."
which year was Kawanda Composite A released.,1971
Is it true that i can make glue from cassava,"Yes, cassava can be used to make glue. Cassava is a starchy root vegetable that is native to South America, but is now grown in many parts of the world. The starchy content of cassava can be extracted and used to make a type of adhesive or glue"
what are natural fertilizers made of ?,"natural materials such as compost, manure, and bone meal"
what is the importance of intercropping beans with sweet potatoes.,"Sweet potatoes have a shallow root system, which can help to reduce competition with beans for nutrients in the soil."
why are cover crops used in cassava cultivation.,to suppress weed growth and improve soil fertility.
How does environmental condition contributes to the spread of maize streak disease.,Maize streak disease tends to be more prevalent and severe in regions with warmer temperatures and high humidity. These conditions favor the growth and activity of both the virus and its leafhopper vectors.
Is there any cassava variety suitable for a particular region in Uganda?,There is no single cassava variety that is suitable for all regions in Uganda due to variations in climatic conditions and soil types.
name one crop that belongs to Brassicaceae family,mustards
which pest feeds on the underside of cassava leaves and causes yellowing and curling of the leaves,Cassava whitefly
what is the botanical name for Cassava green mite.,Mononychellus tanajoa
List inputs whose cost would lead farmers to increase prices.,"land, equipment, fertilizer, chemical, seed, buildings and facilities, maintenance, labor, fuel, heating, feed, taxes, insurance"
Farmers always ask for climatic factors affecting agriculture,"Temperature influences plant growth and development. Different crops have specific temperature requirements for germination, growth, flowering, and fruiting. Extreme temperatures, such as frost or heatwaves, can damage crops and reduce yields."
what does Eutrophication leads to?,"algal blooms and anoxia, leads to fish kills, loss of biodiversity, and renders water unfit for drinking and other industrial uses"
why do farmers prefer TME 419 variety.,It has good yield potential and is resistant to cassava mosaic disease and cassava brown streak disease.
define Intercropping.,"Planting different crops together in the same field can help improve soil fertility by reducing pests and diseases, improving soil structure, and adding organic matter to the soil."
what is the botanical name for Cassava green mite.,Mononychellus tanajoa
Name areas where substance farming is practicied.,Monsoon Asia and South-East Asia
in which areas are irrigation done.,areas with low rainfall or unreliable water sources.
list symptoms of maize streak disease.,"Stunted growth: Infected maize plants often exhibit stunted growth compared to healthy plants. The plants may fail to reach their normal height and size.

Chlorotic streaks or stripes: One of the characteristic symptoms of maize streak virus is the appearance of chlorotic streaks or stripes on the leaves. These streaks are usually pale yellow to white in color and run parallel to the leaf veins.

Necrosis or browning: As the infection progresses, the chlorotic streaks may turn necrotic or brown. This necrosis can extend to the entire leaf blade, resulting in a scorched or burnt appearance.

Leaf curling and twisting: Infected maize leaves may exhibit curling and twisting, with a downward or upward curling of the leaf margins. This distortion is more prominent in severe infections.

Reduced grain production: Maize plants infected with maize streak virus often experience a reduction in grain production. Infected plants may have fewer or smaller ears, and the kernels may be poorly developed or discolored.
"
"Is buying organic food better for the environment than buying food
produced conventionally?
","Ultimately, environmental sustainability comes down to the farmer, whether they produce goods organically or conventionally."
why do farmers prefer TME 419 variety.,It has good yield potential and is resistant to cassava mosaic disease and cassava brown streak disease.
what does Cassava Bacterial Blight causes on the cassava.,"dark brown to black spots on the leaves, stem, and root"
what is Generation.,"he number of times or seasons a seed crop has been exposed to the natural crop
growing environment"
name one plant that uses C4 carbon fixation.,maize 
which other method is used to improve clay soil for maize production.,"Use cover crops: Growing cover crops, such as clover or rye, can help improve soil health and structure by adding organic matter, breaking up soil compaction, and reducing erosion. Cover crops can also help reduce weed pressure and increase soil moisture retention.
"
why do farmers intercrop maize with cassava.,"Maize can be intercropped with cassava to provide a complementary source of food and income. Cassava can help to suppress weeds and reduce soil erosion, while maize provides a higher yield per unit area."
Where can we get fertilizer on low price for maize?,"Agricultural input suppliers: Visit local agricultural input suppliers or agro-dealers in your area. They often offer a range of fertilizers, including both synthetic and organic options, at competitive prices. Inquire about any discounts or promotions they may have.

Farmer cooperatives: Joining a farmer cooperative or collective can provide access to bulk purchasing and discounted prices on agricultural inputs, including fertilizers. Cooperative members often benefit from collective bargaining power and can negotiate better prices with suppliers.

Government subsidies or programs: In some countries, governments may offer subsidies or support programs for agricultural inputs, including fertilizers. Check with local agricultural extension services or government agricultural agencies to see if there are any such programs available in your area.

Local composting or organic waste initiatives: If you are interested in organic fertilizers, consider exploring local composting initiatives or organic waste management programs. These initiatives may offer compost or organic fertilizers at lower prices or even for free, as they aim to promote sustainable waste management practices."
what are organic fertilizers.,"Organic fertilizers are made from natural materials such as compost, manure, and bone meal. They can provide a range of nutrients and help to improve soil structure and fertility over time."
Can the world support more vegetarians than meat eaters?,"Unfortunately, the answer is not as simple as a mere calculation"
What kind of technology do farmers use in the field to help the environment?,"GPS (global positioning systems) is a common technology used by farmers. With GPS, farmers can track every location on the farm and know what the soil needs at that exact location"
what is top-dressing?,op-dressing involves applying fertilizer on the soil surface around the base of the bean plants after the first weeding. This method allows the fertilizer to be directly available to the plants' roots and can improve nutrient uptake and yield.
"Adjumani district, why does farmers preferred cassava stem cuttings than it's seeds","Higher yield potential: Cassava propagated through stem cuttings can produce higher yields compared to seed propagation. The stem cuttings produce a clone of the parent plant, which ensures that the resulting plants will have similar characteristics and yield potential."
what is plant nutrition?,refers to the process by which plants obtain and utilize essential nutrients for growth and development. 
what does Cassava Anthracnose Disease: causes.,"dark spots on the leaves, stem, and root"
What practices can farmers adopt to optimize crop watering?,Farmers can optimize crop watering by scheduling irrigation in the evening to minimize water loss and maximize absorption by the plants.
what are the effects of termites infestations.,"the presence of mud tubes or tunnels on the plant stems or nearby soil, and the appearance of swollen or distorted stems or roots. In severe cases, the entire plant may collapse or die."
Does maize streak diseased affects the seeds	,"Maize streak disease (MSD) primarily affects the leaves of maize plants, causing streaking and yellowing symptoms. However, if the infection is severe and occurs early in the growing season, it can also affect the developing maize cobs and subsequently impact the quality of the seeds.
"
"Any maize markets out there?
",Nakasero Market
how long does the adult live.,up to 14 days.
name two fertilizers used to grow cassava.,compound fertilizers that provide several nutrients together and single-nutrient fertilizers.
"Is buying local and organic the same thing?
",No. Local is a definition based on location
define embryo dormancy?,occurs when the embryo is immature and unable to germinate even under favorable conditions
what cultural methods are involved when eradicating whiteflies.,"Cultural control methods involve practices such as crop rotation, sanitation, and the use of reflective mulches, which can help to reduce whitefly populations by creating unfavorable conditions for their growth and reproduction."
can crop rotation be used to control couch grass?,Crop rotation is another effective way to control couch grass. This involves planting a different crop in the cassava garden after harvesting the cassava. This can help to break the life cycle of the couch grass and prevent it from establishing a strong presence in the soil.
which year was Apple farming introduced in Uganda?,1999
"what conditions can accelerate the breakdown of active ingredients in pesticides, reducing their effectiveness","extreme temperatures, moisture, and sunlight"
name any Environmental issues.,"depletion of aquifers, deforestation, antibiotic resistance"
can the use of farmyard manure increased infiltration?," FYM improves soil permeability and enhances water infiltration into the soil. The organic matter in FYM improves soil structure, creating larger pore spaces that allow water to penetrate more easily into the soil rather than running off the surface."
name two types fertilizers.,organic and inorganic fertilizers
What kind of fertilizer should I use for mango trees?,A balanced fertilizer with a ratio like 6-6-6 or 8-3-9 (N-P-K) supplemented with micronutrients like zinc and magnesium is suitable for mango trees. Apply in split doses.
how do i check for corn maturity?,"test the kernel moisture content using a moisture meter. Additionally, the husks on the ears should have turned brown and dry"
why should farmers implement disease prevention strategies., to prevent the spread of disease among their livestock
How can Rogueing be used to control CBSD.,Infected plants should be identified and removed from the field to prevent the disease from spreading
What facilitates farm yard manure to loosen upper soil layers? ," Farm yard manure is rich in organic matter, which improves soil structure and promotes aggregation. Organic matter helps to bind soil particles together, creating pore spaces and improving soil porosity. This allows for better air and water movement in the soil, leading to improved soil structure and less compacted soil.
"
what does  Food and Drug Administration (FDA) focuses on.,FDA focuses on both fresh and processed food products
How can Rogueing be used to control CBSD.,Infected plants should be identified and removed from the field to prevent the disease from spreading
how can a farmer control pest and disease.,use of resistant varieties
why do farmers apply manure.,to improve soil fertility and moisture retention.
what is CBB,Cassava Bacterial Blight (CBB) is a bacterial disease that affects cassava plants
"For diseases such as bean rust or bacterial blight, when can a farmer spray?","the best time to spray is before the onset of the rainy season, when the conditions are favorable for the disease to spread. It is also important to apply fungicides preventively, rather than waiting for the disease to become established."
what other measures can a farmer use to control root rot.,Use of fungicides
name working animals that have been used to cultivate fields.,"horses, mules, oxen, water buffalo, camels, llamas, alpacas, donkeys, and dogs"
which nutrients do beans require for their growth.,"Beans require adequate levels of nitrogen, phosphorus, and potassium"
What is total seed population in an acre?,"For soybeans, the recommended plant population is typically higher, ranging from 100,000 to 200,000 plants per acre. This corresponds to seeding rates of approximately 125,000 to 250,000 seeds per acre."
Tell me more about Stellapps' digitalized solutions for agriculture.,"Stellapps employs digitalized solutions to enhance various aspects of agriculture, contributing to increased efficiency and productivity in the agricultural sector."
how was harvesting done before the evolution of machinery?,Gathering and removing mature plants from the field had to be done by hand
List the breeds of dairy cattle?,"Holstein, Jersey, Brown Swiss, Ayrshire, Guernsey and Milking Shorthorn"
what is biological pest control., is a method of controlling pests such as insects and mites by using other organisms
how can timing and method of fertilizer application improves soil fertility.,"The timing and method of fertilizer application, such as surface application, broadcasting, or placement, can influence nutrient availability and uptake by crops. For example, applying nitrogen fertilizer at planting may promote early crop growth and development, while side-dressing or top-dressing may promote later growth and fruiting."
why do farmers need to consider intercropping beans with cassava.," beans can provide shade for young cassava plants, which can help to reduce water stress during the early stages of growth."
"How is copra produced from mature coconut nuts, and what are its uses?","Copra is produced by drying mature coconut kernels (meat) extracted from fresh coconut nuts. The kernels are removed from the shells, washed, and dried either naturally in the sun or using mechanical dryers until they contain about 6-7% moisture content. Copra is a major source of coconut oil used in cooking, cosmetics, and industrial applications, as well as coconut meal used in animal feed. Copra production provides an important source of income for coconut farmers in many tropical regions."
what are the benefits of crop domestication.," increased yield, improved disease resistance and drought tolerance, eased harvest and improved the taste and nutritional value of crop plants"
How long should artificial fertilizers be used in a certain piece of land in order to avoid degradation? ,"To prevent soil degradation, it is also recommended that farmers periodically test their soil for nutrient levels and pH and adjust their fertilizer application rates based on the test results. This can help ensure that fertilizers are being applied in appropriate amounts and prevent the accumulation of excess nutrients in the soil, which can lead to environmental pollution.A year after a year, Fertilization depends on crop and organic matter content of the soil. it would be advisable to always apply fertilizers after soil analysis. however, inherently, our soils (especially in buganda) are poor. by default, the lack n, p and k. soil erosion is also causing lot of depletion. it is advisable that the inorganic fertilizers be applies every cropping season. remember fertilizers will not work well if the soil does not have organic matter"
what is ratoon crop.,"A sprout or shoot from the root, stem or vine of a plant after it has been cut back"
At what stage should I weed the beans?,Weeding should be done three weeks after planting beans to prevent competition for nutrients and ensure proper growth.
when is maize for silage harvested.,is harvested while the plant is green and the fruit immature
how can you control mealybug biologically?,introduction of natural enemies of the mealybug
What is the recommended dosage of fertilizer for growing strawberries in sandy soil?,"Generally, a balanced fertilizer with an NPK ratio of 10-10-10 is recommended for sandy soil. However, the exact dosage may vary depending on the specific soil conditions and the age of the plants"
how is long 2H spaced.,is given a spacing of 75x30m with a seed rate of 25kg/ha so does other varieties.
what irrigation techniques can farmers use to provide water during drought.,drip or sprinkler irrigation
what causes blight?,blight 
"Why is it important to thin guava fruits, and how should it be done?","Thinning guava fruits helps reduce competition among developing fruits, improves fruit size and quality, and prevents branch breakage due to excessive fruit load. Thin fruits by hand, leaving space between each fruit and retaining only the healthiest specimens for better growth and ripening."
does harvesting maize early before its dried causes mycotoxin contamination?,"Maize that is harvested before it is fully dried is at a higher risk of mycotoxin contamination, which can pose health risks to both humans and animals if consumed."
which fungi causes root rot ?,"Fusarium, Pythium, and Phytophthora"
What spacing is recommended for cassava planting?,"The recommended spacing for cassava planting can vary depending on several factors, including the variety of cassava, soil fertility, and intended use of the crop. However, a common spacing for cassava is between 1 meter to 1.5 meters between rows and 0.8 meters to 1 meter between plants within a row."
what is High fructose corn syrup,is a common sweetener in sodas and drinks
why is sit recommended to conduct soil test?,to determine the nutrient status of your soil and to consult with local agricultural extension services or agronomists for precise fertilizer recommendations based on your specific location.
What are the best practices for post-harvest handling of bananas?,"Post-harvest handling of bananas includes careful handling to prevent bruising, washing to remove dirt, and proper storage in a cool, well-ventilated area to extend shelf life. Packaging should also be appropriate to prevent damage during transportation."
Name areas where substance farming is practicied.,Monsoon Asia and South-East Asia
